,singer_name,birth_year,death_year,years_active,other_occupations,instruments_played,personal_life,career
54,Narada Disasekara,1933,2010,,,,"He completed education from Kalutara Maha Vidyalaya. Narada's sister's son is Nalendra Amarasinghe and his wife is Girlie. Narada was good at sports like cricket during school times. He also studied music and played violin under the school teacher Seemon Lokuliyana. Disasekara was first married to radio host and actress Tileka Ranasinghe in 1979. The couple has one son, Saranga. Saranga Disasekara became a popular actor since his debut in Nil Diya Yahana in 2009. He then acted in many films and television serials and won most popular actor award in multiple times. After separating from Tileka, he was married to Nilangani Disasekara.Disasekara died on 19 May 2010 at the age of 76. The remains were kept at his residence at 26A, Wetakehiyawala Road, Udahamulla, Nugegoda for public on 20 May 2010. His remains were later buried in Borella Cemetery.   ","Disasekera had started as a mechanic of the Engineering section of Radio Ceylon in 1954. Later in 1955, he became a popular singer of the Radio Ceylon and sang the songs – Chandana Enga Gala, Eya Pamanai Mage Mihirata, Mulu Hadin Mama Obata Pemkara for Radio Ceylon.His solo songs such as Galana Gangaki Jeewithe, Pipee, Pipee Renu Natana, Gamana Nonimei Lokaye and Aarichchi Borichchi were recorded as playback songs for films. He has also provided background songs for the films Hathara Kendaraya, Senasuma Kothenada,  Adarayai Karunawai, and Manamalayho. In addition to the Sarasaviya Award, he received the Honorary Award from the Universities of Colombo and Moratuwa and the Art Decoration Award in 1999.On 28 August 2012, Narada Disasekara Appreciation Ceremony was held at the Battaramulla Folk Art Center at 5.30 p.m.   "
55,Neela Wickramasinghe,1950,,1967 – present,"Vocalist, teacher, composer",,"Wickramasinghe was the youngest daughter of Don Francis Wickramasinghe and Withanaratchige Done Yasawathie Gunasekera in Wattala. She became a victim of Polio at the age of six months. The first school she attended was Kirimatiyagara Vidyalaya. In 1954 she was admitted to Kesbewa Government private school where she first started to be involved in music. Later she went to Mampe Sri Sobhita Maha Vidyalaya. Wickramasinghe learned music under maestro Vincent Somapala and Ananda Jayasinghe. She sang her first song for the then Radio Ceylon in 1959 for a programme 'Amateur voice.' In 1967 she got the privilege to record her first song with Radio Ceylon. The song was composed by Dalton Alwis and the music was provided by Lionel Algama, ""Sende ambare nisha mal yata"". In 1973, she was selected as an A-grade artiste on the merit of the songs sung of the research section of the SLBC. After studying North Indian Classical Music, she graduated in 1974 with a Sangeeth Visharada Degree. Wickramasinghe had a number of popular hits including duets with T. M. Jayaratne. Later, Wickramasinghe opted to become a teacher in music. After teaching in several schools she decided to retire prematurely in 1998 after a period of 23 years having had a long stint of eight years at Visakha Vidyalaya, Colombo. Wickramasinghe was diagnosed with abdominal cancer in a very serious manner and survived.   ",
56,Nimal Mendis,1934,2015,1958–2015,"Singer-songwriter, musician",VocalsPianoKeyboardsGuitar,,
57,Nihal Nelson,1946,,1963–Present,"Vocalist, Songwriter, Composer",Vocals,"His father was a businessman and mother was an English teacher.He started primary education from Innocent Maria Mixed School which is currently known as Rawathawaththa Methodist College. After passing grade 8, he entered Moratu Maha Vidyalaya where he completed A/L in 1960. That's where he got a lot of attention towards music.Nelson is married to Malini Sriyalatha, where the wedding was celebrated on 16 May 1974. The couple has one son Kanchana Tharanga who was born on 18 January 1978. Kanchana works as a radio sound administrator. Kanchana is married to Gayani. His wife Malini died in July 2020. Malini was the second in a family of four and had two sisters and an older brother.   ","Nelson was very popular in school stage as well as in Moratuwa as a singer. However, he had to polish his music ability to enter the music world. During this period, he met Sarath Munasinghe (currently a monk, Meegahawela Sumanashantha Thero) who wrote many songs in early days. In 1962, he met popular musician A.J.Kareem during a wedding. Kareem introduced Nelson to popular composer R. A. Chandrasena. Nelson's first recording Lassanata Pipunu Wanamal wrote by Munasinghe was released on EP on March 31, 1963 under the guidance of Chandrasena. Later he joined with Kandy lake club with Chandrasena.He was among the first Sri Lankan vocalists to release a cassette in 1978 with Gune Ayyage Kamare. The release was on Wijaya Ramanayake's Tharanga label which introduced the format to Sri Lanka. Nelson was also among the first to release a compact disc.Nelson's hundred and tenth album Nihal 110 Dot Com came out in 2000. It was recorded at Sunflowers Studios in Mahawewa, Chilaw with conduction by Neil Warnakulasooriya and music by the Sunflowers. Nelson is still singing on the concert stage for consecutive 55 years.He also worked as a playback singer for many films. His maiden playback singing came through the film Pem Kurullo with the song ""Kasii Basili Na"". It was written by Chandradasa Fernando and the music was composed by Tony Weeratunga. Then he playback for the films Sakvithi Suwaya, Loka Horu, Rodaya, Hari Yanakota Ohoma Thamai, Sanda Wata Rantharu, Loku Thaththa, Mal Warusa, Valampuri and Diyamanthi. He also sung a song called Hitha Honda Minihage for Gamini Fonseka.On 15 March 2013, a ""50 years old, Nihal Awith"" concert was held at the Museus College Auditorium to celebrate his 50 years of singing career. In 2015, Nelson was awarded the 'Moratupura Ratnavibhushana' award.   "
58,Nalin Jayawardena,1957,,2000–present,Singer-songwriter,,"  Born in Batticaola, in eastern Sri Lanka as the eldest son of Mr Chandra and Mrs MaryAnn Jayawardena, and did his primary studies at Prince of Wales college Moratuwa and at Bandaranayaka college in Gampaha [WP] He has written several of his own songs and began his music career at a later stage of his life. He in musically talented in the sense that he has the ability to vocalise in a variety of styles and genre ranging from semi-classical to popular western. He has produced over 11 Sinhala audio CD's and several DVD's to entertain his fans.He is married to Renuka Jayawardena [nee Ranasingha] from Galahitiyawa, Ganemulla, Sri Lanka, a medical scientist by profession, and has two daughters. He resides in Perth, Australia.   ",
59,Nirosha Virajini,1973,,,"Singer, musician and music director",,"Nirosha was born on 13 January 1973.She is native of Kandy, Sri Lanka She was married to Nalinda Sampath in 2000, but the couple got divorced in 2005. She married Yasantha Nimalatheja in 2009.she is beautiful women   ","Nirosha has sung songs in Sinhalese, Tamil, Hindi, and Malayalam.   "
60,W. D. Amaradeva,1927,2016,1947–2016,"Musician, singer, composer, Chancellor of the University of the Visual and Performing Arts",," Amaradeva was born the youngest of seven children to a carpenter, Wannakuwatta Waduge Don Ginoris Perera, and Balapuwaduge Maggie Weslina Mendis at Janapriya Mawatha in Koralawella, Moratuwa. Perera was a Buddhist while Mendis was a Methodist bringing both Christian and Buddhist values and music traditions to the family. Amardeva was introduced to music at a young age by his father who crafted and repaired violins at Moratumulla Wadu Kaarmika Vidyalaya (Carpentry School). Amaradeva would often strum the violin while his mother sang hymns. Another family influence was Amaradeva's elder brother who taught Indian classical music to him. Amaradeva was presented with his own instrument on his seventh birthday which was a Japanese made tin violin by his father.Amaradeva obtained his early education under Ven. Malalankara Nayaka Tero of the Koralawella temple. With the development of his musical talent, Amaradeva was asked to recite poems and prayers at the temple; he was subsequently picked to lead the village choir. He was first entered into Sri Saddharmodaya Buddhist mixed School in Koralawella. The principal of that school, Mr. Ku. Jo. Fernando was an active member of Hela Hawula and had a close connection with Kumaratunga Munidasa. He knew about Amaradeva's talent and introduced him to Kumaratunga. Amaradeva was lucky to be appreciated by Kumaratunga for his singing talent. Since he had a chance to accompany all these scholars during his childhood, he had an interest in national identity and language. When he was studying in grade five at Koralawella School, a music teacher called Mr. W. J. Fernando was transferred to his school from Kalutara. Hence, W.J. Fernando was the first school music teacher of Amaradeva. He realized Amaradeva's talent and directed him on singing and playing. Under his guidance, Amaradeva won all the school singing competitions. Even the teacher let him conduct the classroom when he was not there.While attending the school, he won a poetry contest held at the Moratuwa Vidyalaya. Amaradeva also led the school choir to a triumphant showing at a contest held by the Colombo Arts Society. His poetry win prompted school teachers to get him a showcase to recite poetry on Radio Ceylon. In 1945 Amaradeva won a gold medal at a music and violin contest held by Jana Kala Mandalaya Amaradeva's fame that was limited only to the Koralawella, started spreading over other areas. Because of his increasing popularity, several schools offered him scholarships. Amaradeva entered Sri Sumangala College, Panadura after completing his primary education with a scholarship for English. At the school, he formed a friendship with the music teacher and principal Danister Thomas Fernando, who was the elder brother of Amaradeva's first music teacher W. J. Fernando.  D. T. Fernando who was living in Kalutara helped Amaradeva get into Kalutara Vidyalaya and subsequently to Siddharta Vidyalaya Balapitiya.He was married to Wimala Gunaratne in 1962. She was a past student of Musaeus College, Colombo. She was a teacher, who completed Twenty years of teaching career. Meanwhile, Wimala joined with dance troupe conducted by Panibharatha and excelled her acting abilities at Tower Hall. The couple has three children: Ranjana, Subhani, and Priyanvada. Wimala Amaradeva died on 8 March 2021 at the age of 86.   ","Young Amaradewa met Sunil Santha, a prominent artist at the time at one of Sunil Santha's concerts. Since he showed interest Sunil Santha invited Amaradewa to audition at Chitrasena studios. There he played in front of Sunil Santha, Chitrasena and A. J. Ranasinghe and impressed them. This meeting and related events are described in detail by A. J. Ranasinghe, Dr. Nandadasa Kodagoda and Sunil Santha. After the audition Sunil Santha brought Amaradewa to stay at Chitrasena Studios, his roommate was A. J. Ranasinghe. By chance filming of the film Ashokamala commenced nearby. Gerard J. Pieris of Moratuwa introduced Amaradeva to Mohamed Ghouse Master who was handling the music for the film and Ghouse recognising Amaradeva's skill enlisted him as the top violinist in his orchestra. Amaradeva left his studies and accompanied Ghouse to India to work on the film. He would play a triple role of singing, dancing and acting on the film with the song ""Ayi Yameku Kale Ale."". At Lucknow, Bhatkande Amaradeva came under the tutelage of the supreme violinist Vishnu Govind Jog who regarded the young Sri Lankan as a prized pupil and protégé. Amaradeva graduated after five years with two Visharads as both a violinist and vocalist. He found steady work as an artist on Radio Ceylon, where his unique vision and talent could be exhibited to an audience wider than he had ever before known – earning him a position at the Bhatkhande Music Institute in Lucknow, India. In 1955, Amaradeva won the All India violin competition. After extensive training, Albert returned to Sri Lanka as Pandit Wannakuwatta waduge Don Amaradeva. The name Amaradeva which translates as Immortal god was given to him by Prof. Ediriweera Sarachchandra (Sri Lanka's foremost playwright and a close associate). During this time, Sri Lanka (then Ceylon) had only begun emerging as an independent nation, and the question of what Sri Lankan music was, was slowly being addressed with equal vigour by intellectuals, artists and the general public. In response to the spirit of these times, Amaradeva began interweaving indigenous folk music with the North Indian ragas he had studied in Lucknow, thereby giving expression to a more sophisticated cadence. His other innovations include his experimentation with Western harmonies and counter-harmonies, as well as with South Indian and Tamil musical forms. In the song 'Ran Dahadiya Bindu Bindu', Amaradeva incorporated the Baila music of his hometown. His opus, however, remains the work he did with Sri Lanka's celebrated lyricist Mahagama Sekera, in exploring the contours of fusing classical Sinhala poetry with his unique musical intonation. In time, Amaradeva's music came to reflect an entire philosophy, reflective of the spirit of a nation. He has composed music for ballet (Karadiya, Nala Damayanthi, etc.), film (Ranmuthu Duwa, Gam Peraliya, Ran Salu, Delovak Athara, Gatavarayo, Rena Girav, Thun Man Handiya, Puran Appu, etc.), theatre (Wessantara, etc.), radio and television. He is the creator of the mando-harp, a musical instrument combining the mandolin and the harp.Amaradeva is credited as having introduced artists such as Nanda Malini and Edward Jayakody to the wider audience. Many artists such as Sunil Edirisinghe, Victor Ratnayake and Neela Wickramasinghe have credited him as a major influence on their work. Dr. Lester James Peries has described his voice as the greatest musical instrument. Amaradeva has also been described as the defining musician of Sinhala civilization for his role in the creation of a national tradition.Amaradeva was married to Wimala, together they had one son (Ranjana Amaradeva), and two daughters (Subhani Amaradeva, herself a talented vocalist, and Priyanvada Amaradeva). He was a patron of numerous charities. W. D. Amaradeva was the second Chancellor of the University of the Visual and Performing Arts. In 2015 Amaradeva made a duet with popular young artist, Umaria Sinhawansa before his demise.Tha particular song Hanthana Sihine Has acrossed more than 13 million views on YouTube.   "
61,Paranoid Earthling,,,2001 (2001)–Present,,,,
62,Paul Fernando,1951,2020,1970–2017,Singercomposer,Vocals,"Paul Fernando was born on 24 November 1951 in Moratuwa, Colombo, Sri Lanka as the youngest of the family. He completed education at Prince of Wales' College, Moratuwa. His father was Madawala Hewage Leon Fernando and mother was Kusumawathi Fernando. He had four elder brothers.He died on 16 November 2020 at the age of 68 at Kalubowila Hospital after undergoing treatment for an illness for a long period.   ","An amateur singing competition was held at the Buddhist House in Moratuwa in 1969. It was a time when he was looking for opportunities to sing songs. With that focus, he applied for the Talent Sixty Nine Singing Competition where he later won the competition. That competition became the turning point in his musical career. During the competition, he met popular lyricist Priya Peiris who gave him several lyrics. Then Fernando practiced the song Sandapana Wage Obe Ruwa Dilisila. He managed to impress the fans with that song which brought him to the pinnacle of popularity.In 1970, he released his first album. The album consisted of four songs: Sandapana Wage, Ran Samanalaya, Sudu Rosa Malak and Thoppi Velenda. He later became a permanent artist in outdoor musical stages island wide. In the same year, he took to the stage with the song Mala, Mama Oba Genama Hithala. Then in 1972, he sang the song Egoda Gode Mal Nelana Mal Ethano written by Ravi Ranasinghe and composed by Melroy Dharmaratne. Then he made the Baila hit Supun Sandak Ahase Pavuna which became very popular. On the stage, he made a sign of identity, where he sang the songs moving from one place to another rhythmically.In a career spanning more than four decades, he made several popular Baila and fast tracks including: Golu Hadawatha Vivara Karanna, Ruwan Maliga, Egoda Gode Mal, Aawe Wana Bambarek Wage, Supun Sandak Ahase Pawuna, Demapiyan Kiyana Nisa, Pranandu Pranandu, Ran Kirilliye and Dona Kathirina. On 13 October 2013, Fernando performed in the concert 3 Po LS (3පෝLS) along with fellow Baila singers Christopher Paul and Vincent de Paul Peiris held at Bauddha Mandiraya, Moratuwa.   "
63,Premasiri Khemadasa,1937,2008,,"Music director, composer",,"  Khemadasa grew up in Talpitiya, Wadduwa and attended St. John's College Panadura and then Sri Sumangala College Panadura. Born the thirteenth child into a poor rural family on the west coast of Sri Lanka, Khemadasa started with nothing. There was no musical heritage in his family. He was self-taught, learning how to play on cheap bamboo flutes when he was only 6 years old. In all his life, Khemadasa would never receive formal training in music.As a teenager, he became a gifted flautist. Khemadasa was asked to come to the Radio Ceylon for an interview on the day he was scheduled to take his Senior School Certificate examination. He finished the examination much ahead of time and travelled to the audition. He passed the audition and became a member of Radio Ceylon.His two daughters Anupa and Gayathri now moved into father's stream.   ",
64,Priya Suriyasena,1952,,1972–present,"Singer, music director ,teacher, lecturer, composer",Vocals,"He was born on 27 October 1952 to an up-country middle-class family, in Nattandiya, Puttalam district, Sri Lanka. His father was M. L. D Jemis Liyanage was a poet, from whom he got his musical talent. His mother was A. M. Podi Manike. He was the only son in a family of three. He had his primary education at Nattandiya Primary School and completed his GCE O/L and A/L at Madampe Central College in Puttalam district.In 1978 he married Thamara Kumari Weerasinghe who was also a music teacher. The couple has one son and three daughters. Lakshitha studied at Ananda College and learned music from Lionel Ranwala. Eldest daughter Minoshi is a doctor. The next daughter, Iroshi, is a manager at a private bank. The youngest daughter Gayashi is a management degree holder. Lakshitha is married to Miyuru Piyathilaka.   ","After his A/L from 1968 to 1971 he sat for external exams conducted by the government musical college 'Heywood' and obtained a diploma in music. Suriyasena won several prizes as a student after participating in musical programmes, such as UNESCO talent competition in which he won the first prize. Suriyasena started his career in 1971 as a music teacher for Kelaniya Gurukula College whilst also as an on stage singer at the same time. Then he moved to Kalubowila Vidyalaya and finally in Dehiwala Central College. After about 10 years of service in Dehiwala, Suriyasena left his teaching career giving priority to his music career.Then he recorded some of his original songs which were aired in SLBC in 1972 and also passed as an A-grade radio singer. At this stage he shortened his name from Priyadharsha to ""Priya"", inspired by Sri Lankan Motor Racing legend Priya Munasinghe. The first cassette tape was released under Vijaya Ramanayake's Tharanga label. His first radio song Andura Andura Mage was recorded in 1968. The veteran music directors who conducted music for his songs were Lal Thenabadu, the late Sarath Dassanayake, Stanley Peiris, Sarath de Alwis, late Clarence Wijewardena and Ranjith Perera. Suriyasena directed music for songs such as Adaraniya Neranjana, Heta Dawase, Mata Wasana, Sanda Ma Gawai, Mage Samarum Pothe, Ekama Vidiye, Mohathaka Suwa Dena and Gelawata Banda Wu. He has also composed famous Christian Baila music hit dedicated to St Anthony sung by Anton Jones.After the release of his first four songs Suriyasena became a heartthrob of youngsters in the 1970s. His first four songs: Sarathasa Niwa, Mata Wasana, Heta DaVase and Andura Andura Mage were recorded for the SLBC in 1972. The release of Sudu Parevi Rena Se brought Suriyasena up to one of the top singers in the 1970s bringing a controversy at the time where the Sri Lankan government prohibited broadcasting the song through radio channels for a period of time. His popularity was raised with the Sarasaviya Award for Kendan Yannam, a song from Sena Samarasinghe's 1984 film Aethin Aethata with Milton Mallawarachchi and Gratien Ananda.He was also a play back singer in many films including Mal Kekulu in early 1980s, song Bindu Bindu Kandulu Sala, a duet with Shayami Fonseka and music directed by Sarath Dassanayake and produced by Sena Samarasinghe. Further, he sang in many other films like Selinage Walawwa, Mudukkuwe Juliet, Hariyanakota Ohama Thamai, and Pina Paduna Da. In the film Ethin Ethata, he sang the duet ""Kandan Yannan Ranmal Mala Dala"" with Milton Mallawarachchi to the music direction of Sarath Dassanayake which won a Sarasaviya Award in the 1980s. In the film Suhada Sohoyuro he played a minor role. However, later Suriyasena gave up singing as a play back singer focusing only on stage.His maiden foreign tour was to Singapore in 1978. Subsequently, he made it to over 44 other countries including United States, Canada, Europe, Asia, Middle East and Australia. At the beginning of 1990s Suriyasena was leaned towards cassette production business where he started ""Luckshitha Trade Centre"" and released cassettes of M.S. Fernando, Punsiri Soysa, H.R. Jothipala and Champa Kalhari.In 1996 with the album ""Sunflowers with Priya"", he brought a new musical generation to the country grossing revenue over Rs. 8 million for the album and becoming the most popular singer in the country.In 2006 he sang a duet Gimhanaye with Samitha Mudunkotuwa for the film Kalu Sudu Mal as the male playback for Kamal Addararachchi. He completed a tour in 2017 on many cities including Los Angeles and Melbourne which has a significant Sri Lankan communities. In 2012, he released the album ""Malsara Hinawa"" which included several old hits.   "
65,Prince Udaya Priyantha,1970,2017,1991–2017,"singer, songwriter, musician","Vocals, violin, keyboard","Born in the rural village of Siripura, Nawadagala in Galle, Prince started his music career as a keyboard player in the early 1990s, with his inborn abilities. His father Eaton Fernando, was a former violinist in Sri Lanka Broadcasting Corporation, and also a former principal and a music teacher. His mother Rosalyn Palliyaguruge was also principal, who died in 2014 in a Dubai Hospital. Prince has one sister, Shiromi Priyangika, who cared for Prince until his death. He stated that, though he has not married, he had a relationship with fellow female singer Nirosha Virajini, which did not extend up to the marriage, however.   ","Prince completed his education from Elpitiya Ananda Maha Vidyalaya and showcased his musical abilities at the time of school. His first music teacher was Nihal Gamhewa, but the classes were interrupted due to 1987–89 JVP insurrections. In 1990, Prince attended the Belwood Music Academy of National Youth Services Council and worked as a violinist, under Gamhewa. He completed Bellwood Diploma after three years along with fellow musicians such as Chandana Liyanaarachchi, and Jayasiri Amarasekara. With the completion, he asked his music teacher to write some songs for him. With that, Gamhewa wrote four songs for him, which included Pemwathun Sinase, Werala Konaka Hida, Adare Nam Ai, Sanda Kumariyak. These four songs were highlighted due to the usage of musical instrument Octapad for the first time in Sri Lankan music industry.He popularized as a singer in 1992 with the song Sanda Kumariyak Digeka Yanawa and made his mark in open stages and television music industry. Some of his most popular songs include Sigiriye Kurutu Geetha, Oba Hamuwu Dine, Sudu Mal Pokurak, Sadarenu Wahena and Samudenna Samuganna Nam.   "
66,R. Muttusamy,1926,1988,,composer,," Muttusamy married the Sinhalese B. D. E. Neeliya Perera on 7 October 1961, and had four children, Mohanraj, Chitrangi, Prasanna Vadhani and Keerthika. Mohanraj would follow in his father's footsteps pursuing a career in music. Muttusamy died on 27 June 1988.   ","Muttusamy worked as the Assistant Music Director on the first Sinhalese film Kadawunu Poronduwa in 1941 under the tutelage of R. Narayana Iyer. He subsequently travelled to Sri Lanka and found work there as a member of the state-run Radio Ceylon's Tamil Orchestra (20 October 1952) and then with the Sundera Murugan Studio in Kandana built by producer Nayagam (1953).Enlisted by successful producer K. Gunaratnam, Muttusamy handled his first lead music direction for the 1953 Sinhalese film Prema Tharangaya. In the film he directed the Sinhalese playback singers Dharmadasa and Latha Walpola on what would be their debut as well. Subsequently he oversaw the direction for over 225 films including Ahankara Sthree (1953), Mathalang (1955), Sandesaya (1961), Allapu Gedera and Chandiya (1965) working with playback singers like the Walpolas, Mohideen Baig, J. A. Milton Perera, H. R. Jothipala, Angeline Gunathilake, Sujatha Aththanayaka, G. S. B. Rani and Narada Disasekara.He rejoined Radio Ceylon in 1958 and served with the organization until 1981.   "
67,My Vitriol,,,"1999–2002, 2005–present",,,,
68,Rohan de Saram,,,,,,"Rohan de Saram was born to Ceylonese parents in Sheffield, Yorkshire, England. His father was Robert de Saram and his mother was Miriam Pieris Deraniyagala. His paternal grandfather was Colonel Fredrick de Saram, OBE and his maternal grandfather was Sir Paul Pieris. At age 11, he studied with Gaspar Cassadó in Siena and Florence.  In 1955 at the age of 16, he was the first winner of the Guilhermina Suggia Award, enabling him to study in the UK with Sir John Barbirolli and in Puerto Rico with Pablo Casals. Casals said of him, ""There are few of his generation that have such gifts"". In the following year, he won a Harriet Cohen International Music Award. At the invitation of Dimitri Mitropoulos, who described him in 1957 as ""a rare genius...a born musician... an amazing...cellist"", Rohan was invited to give his Carnegie Hall debut in 1960 with the New York Philharmonic, playing Khachaturian's Cello Concerto under the baton of Stanisław Skrowaczewski.   Gregor Piatigorsky presented him with a special bow.  He has lived in London since 1972, first and foremost as a performer, although he has also taught at Trinity College of Music, London. From 1979 to 2005, de Saram was a member of the Arditti Quartet, but now works with other artists to pursue his own artistic vision.  He has also toured and recorded with Markus Stockhausen's ""Possible Worlds"" group.  He worked personally with Zoltán Kodály, Francis Poulenc, Sir William Walton, and Dmitri Shostakovich.  He has performed with the major orchestras of Europe, USA, Canada, Australia and the former Soviet Union with conductors such as Barbirolli, Sir Adrian Boult, Zubin Mehta, Seiji Ozawa, and William Steinberg. In ensemble or as a soloist, he has premiered works by Luciano Berio, Bose, Benjamin Britten, Sylvano Bussotti, John Cage, Sir Peter Maxwell Davies, Philip Glass, Sofia Gubaidulina, Paul Hindemith, Mauricio Kagel, György Ligeti (Racine 19), Conlon Nancarrow, Henri Pousseur, Wolfgang Rihm, Jeremy Dale Roberts (Deathwatch Cello Concerto, written for de Saram), Alfred Schnittke, Iannis Xenakis (Kottos ) and Toshio Hosokawa (the concerto Chant for cello and orchestra).  Berio was  so impressed by his performance of Il Ritorno degli Snovidenia that he wrote Sequenza XIV (2002) specially for de Saram, incorporating drumming on the body of the cello drawn from de Saram's skills with the Kandyan drum.  The work was given its world and numerous national premieres by de Saram who then also made the premiere recording.   He plays the standard classical cello works, including the great concerti, sonata cycles and Bach's six Solo Cello Suites. He founded the De Saram Clarinet Trio and a duo with his brother Druvi de Saram.  He is one of relatively few new music interpreters to have explored the world of improvisation. From roughly 1986-1994 he occasionally worked with the UK improvising ensemble AMM, appearing on their recording ""The Inexhaustible Document"", recorded in 1987. He has made numerous recordings, both with the Arditti Quartet and as soloist, including Vivaldi's Sonatas, Edmund Rubbra's Soliloquy for cello and orchestra, Britten's Cello Suites No 1-3, John Mayer's Ragamalas and Prabhanda, Xenakis' Kottos and Elliott Carter's Figment I and II, and works by Bernd Alois Zimmermann, Peter Ruzicka, Gelhaar, Pröve and Steinke.  2011 releases include Harmonic Labyrinth with Preethi de Silva, and the first of two volumes of de Saram in Concert featuring magnificent Wigmore Hall performances of the Kodaly Sonata for Solo Cello (his score carries Kodaly's hand-written praise for his performance before the composer in May 1960), together with the Rachmaninoff Cello Sonata, in which he is accompanied by his brother Druvi.   He is married to Rosemary de Saram. They have a daughter, Sophia (Oberon Symphony Orchestra) and a son, Suren (of Bombay Bicycle Club).   ",
69,Rookantha Gunathilake,1959,,,"singer, songwriter",,"Rookantha was born on 5 September 1959 in Kegalle, Sri Lanka to a middle-class family. He loved music from a very young age. As a result, his parents sent him to a music teacher nearby to teach him to play the piano. He attended St. Mary's College, Kegalle for primary education. He learned music at his school, St. Anthony's College, Kandy from great musicians such as Stanley Peiris and Cyril Brown. He also did G.C.E. A/Ls after coming to the music field.Rookantha is married to singer and former actress Chandralekha Perera. They have two daughters, Raini Charuka (born 10 April 1991) and Windy (born 26 December).   ","Rookantha once said in a radio interview that one of his music teachers at school was not that friendly and punished him several times for not using correct fingering in piano. Also, he found out that he was getting restricted to what the teacher wanted him to learn. Rookantha originally pursued a career as a composer in 1976. In 1985, he found himself without a singer to provide vocals on one of his compositions, ""Bambara Pahasa."" THis 'Bambara Pahasa' cassette was released on October 31, 1988. He provided the vocals himself, beginning his career as a singer. His fourth album Charuka, named after his daughter, Raini Charuka, was released in 1997. He first composed the music for Jaliya Ranatunga's collection of 12 songs where he wrote two songs.The exclusive concert of Rookantha and Chandralekha is 'Ru Sanda Rae' which means ""Beauty Moon Night"". The first concert was staged at the Elphinston Theatre in Colombo, Sri Lanka in February 1993. To-date it has been staged in many places around the globe including Italy, France, Denmark, Sweden, Germany, Australia, New Zealand, Canada, UK, USA, and the UAE. The 'Ru Sanda Rae' concert has been staged more than 300 times and still counting.The mega show of 'Rookantha-Chandralekha Live at Stadium' was held in August 2009 at the Sugathadasa Indoor Stadium. Many crowds had to turn around as the tickets were sold out weeks before the concert overcrowding the Sugathadasa Stadium with over 15,000 people. Since then, the family has been traveling back and forth holding ‘Ru Sanda Rae’ concerts around the country. A special concert was held on the 11 August 2012 at 7.00 pm at the Sugathadasa Indoor Stadium, Colombo.In 2019, he worked as a judge in the television reality show Hiru Star. However, he was assaulted by some group of people and damaged his vehicle by stating that Rookantha did not give his vote to a contestant.   He returned Sri Lanka in 2018 with the intentions to enter into politics. In 2019, he was appointed as the Dambadeniya electorate organizer of the United National Party.   "
