index,singer_name,birth_year,death_year,carrer_start_year,career_end_year,gender,famous_songs,other_occupations,instruments_played,personal_life,career
55,Neela Wickramasinghe,1950,,1967,2022,female,Master Sir,"teacher, composer",,"Wickramasinghe was the youngest daughter of Don Francis Wickramasinghe and Withanaratchige Done Yasawathie Gunasekera in Wattala. She became a victim of Polio at the age of six months. The first school she attended was Kirimatiyagara Vidyalaya. In 1954 she was admitted to Kesbewa Government private school where she first started to be involved in music. Later she went to Mampe Sri Sobhita Maha Vidyalaya. Wickramasinghe learned music under maestro Vincent Somapala and Ananda Jayasinghe. She sang her first song for the then Radio Ceylon in 1959 for a programme 'Amateur voice.' In 1967 she got the privilege to record her first song with Radio Ceylon. The song was composed by Dalton Alwis and the music was provided by Lionel Algama, ""Sende ambare nisha mal yata"". In 1973, she was selected as an A-grade artiste on the merit of the songs sung of the research section of the SLBC. After studying North Indian Classical Music, she graduated in 1974 with a Sangeeth Visharada Degree. Wickramasinghe had a number of popular hits including duets with T. M. Jayaratne. Later, Wickramasinghe opted to become a teacher in music. After teaching in several schools she decided to retire prematurely in 1998 after a period of 23 years having had a long stint of eight years at Visakha Vidyalaya, Colombo. Wickramasinghe was diagnosed with abdominal cancer in a very serious manner and survived.   ","So far she has sung in 67 films as a playback singer and has contributed to hundreds of songs. On 2012, to mark 45th anniversary of her musical career, Wickramasinghe started a solo concert named ""Master Sir"". She has won the Sarasaviya Award thrice, Presidential award, Sumathi tele award, Zonta award and Vanitha award."
56,Nimal Mendis,1934,2015,1958,2015,male,"Kiss kiss kiss, Kandyan express, Cherry blossom tree, Oh my lover, Butterfly in the rain","songwriter, musician","piano, keyboard, guitar","Mendis had been involved with music from his early childhood, and has lived for many years in London travelling often to Sri Lanka. He has also lived at Le Paradis in the Charente, the South West of France, for five years with his wife Ranjani. Mendis was married to Ranjani for 33 years until her death in 2010, and has one son, Paulmarie, with whom Mendis ran Mediaeye Productions.","Nimal Mendis (1934-2015) was a Sri Lankan singer and songwriter, and was one of a handful of Sri Lankan musicians to appear on the BBC television programme Top of the Pops (1968). Mendis was a longstanding member of the Performing Rights Society and the Mechanical Copyright Protection Society of Great Britain. Mendis was discovered in the late 1950s by Radio Ceylon, which dominated the airwaves in South Asia in the era. The station backed Mendis' songs from the outset, including ""Kandyan Express"", turning them into hits in South Asia: so much so that listeners from all over the Indian sub-continent wrote in to Radio Ceylon requesting his songs."
57,Nihal Nelson,1946,,1963,2022,male,"Lassanata pipunu wanama, Gune ayyage kamare, Hitha honda minihage","songwriter, composer",,"His father was a businessman and mother was an English teacher.He started primary education from Innocent Maria Mixed School which is currently known as Rawathawaththa Methodist College. After passing grade 8, he entered Moratu Maha Vidyalaya where he completed A/L in 1960. That's where he got a lot of attention towards music.Nelson is married to Malini Sriyalatha, where the wedding was celebrated on 16 May 1974. The couple has one son Kanchana Tharanga who was born on 18 January 1978. Kanchana works as a radio sound administrator. Kanchana is married to Gayani. His wife Malini died in July 2020. Malini was the second in a family of four and had two sisters and an older brother.","Nelson was very popular in school stage as well as in Moratuwa as a singer. However, he had to polish his music ability to enter the music world. During this period, he met Sarath Munasinghe (currently a monk, Meegahawela Sumanashantha Thero) who wrote many songs in early days. In 1962, he met popular musician A.J.Kareem during a wedding. Kareem introduced Nelson to popular composer R. A. Chandrasena. Nelson's first recording Lassanata Pipunu Wanamal wrote by Munasinghe was released on EP on March 31, 1963 under the guidance of Chandrasena. Later he joined with Kandy lake club with Chandrasena.He was among the first Sri Lankan vocalists to release a cassette in 1978 with Gune Ayyage Kamare. The release was on Wijaya Ramanayake's Tharanga label which introduced the format to Sri Lanka. Nelson was also among the first to release a compact disc. Nelson's hundred and tenth album Nihal 110 Dot Com came out in 2000. It was recorded at Sunflowers Studios in Mahawewa, Chilaw with conduction by Neil Warnakulasooriya and music by the Sunflowers. Nelson is still singing on the concert stage for consecutive 55 years.He also worked as a playback singer for many films. His maiden playback singing came through the film Pem Kurullo with the song ""Kasii Basili Na"". It was written by Chandradasa Fernando and the music was composed by Tony Weeratunga. Then he playback for the films Sakvithi Suwaya, Loka Horu, Rodaya, Hari Yanakota Ohoma Thamai, Sanda Wata Rantharu, Loku Thaththa, Mal Warusa, Valampuri and Diyamanthi. He also sung a song called Hitha Honda Minihage for Gamini Fonseka.On 15 March 2013, a ""50 years old, Nihal Awith"" concert was held at the Museus College Auditorium to celebrate his 50 years of singing career. In 2015, Nelson was awarded the 'Moratupura Ratnavibhushana' award. Nelson holds the record for the most albums recorded by a Sri Lankan artist with 113 albums."
58,Nalin Jayawardena,1957,,2000,2022,male,"Sansara suwanda, Pinna malak, Ma obemai sada, Mage unath",songwriter,,"  Born in Batticaola, in eastern Sri Lanka as the eldest son of Mr Chandra and Mrs Mary Ann Jayawardena, and did his primary studies at Prince of Wales college Moratuwa and at Bandaranayaka college in Gampaha [WP] He has written several of his own songs and began his music career at a later stage of his life. He in musically talented in the sense that he has the ability to vocalise in a variety of styles and genre ranging from semi-classical to popular western. He has produced over 11 Sinhala audio CD's and several DVD's to entertain his fans.He is married to Renuka Jayawardena [nee Ranasingha] from Galahitiyawa, Ganemulla, Sri Lanka, a medical scientist by profession, and has two daughters. He resides in Perth, Australia.   ","He was the first Sri Lankan singer to release an internet based audio album in Sinhala allowing his fans from around the world to download the album free of charge. This album titled Kanda Paamule was released in 2004. Nalin Jayawardena lives in Perth, Australia. He recently released several Sinhala audio compact discs including ""My Sister Meenachchi (2018)"" and Adare Makaranda (2017). In 2016, a lyrics book, ""Gee Tharu Mal,"" containing over 300 songs sung by Nalin Jayawardena was released. Nalin Jayawardena was the recipient of the Multicultural Deshabhimani Award in 2016 of Serendib Publications, Australia."
59,Nirosha Virajini,1973,,,,female,"Oba giyama, Man kirilliyak, Oba kaviyakai, Re ahasin kaviyak","musician, music director",,"Nirosha was born on 13 January 1973.She is native of Kandy, Sri Lanka She was married to Nalinda Sampath in 2000, but the couple got divorced in 2005. She married Yasantha Nimalatheja in 2009.   ","Nirosha has sung songs in Sinhalese, Tamil, Hindi, and Malayalam. In 2000, 2002 and 2016 she was awarded as Best Female Vocalist at President's Award and Sarasaviya Awards for her contribution as a playback singer of the films ""Rajya Sevaya Pinisai"" and ""Kinihiriya Mal"" respectively."
60,W. D. Amaradeva,1927,2016,1947,2016,male,"Thanha asha, Wakkada langa, Kolomthota, Sanda horen, Ira handa payana","musician, composer, Chancellor of the University of the Visual and Performing Arts","violin, sitar, table, harmonium"," Amaradeva was born the youngest of seven children to a carpenter, Wannakuwatta Waduge Don Ginoris Perera, and Balapuwaduge Maggie Weslina Mendis at Janapriya Mawatha in Koralawella, Moratuwa. Perera was a Buddhist while Mendis was a Methodist bringing both Christian and Buddhist values and music traditions to the family. Amardeva was introduced to music at a young age by his father who crafted and repaired violins at Moratumulla Wadu Kaarmika Vidyalaya (Carpentry School). Amaradeva would often strum the violin while his mother sang hymns. Another family influence was Amaradeva's elder brother who taught Indian classical music to him. Amaradeva was presented with his own instrument on his seventh birthday which was a Japanese made tin violin by his father.Amaradeva obtained his early education under Ven. Malalankara Nayaka Tero of the Koralawella temple. With the development of his musical talent, Amaradeva was asked to recite poems and prayers at the temple; he was subsequently picked to lead the village choir. He was first entered into Sri Saddharmodaya Buddhist mixed School in Koralawella. The principal of that school, Mr. Ku. Jo. Fernando was an active member of Hela Hawula and had a close connection with Kumaratunga Munidasa. He knew about Amaradeva's talent and introduced him to Kumaratunga. Amaradeva was lucky to be appreciated by Kumaratunga for his singing talent. Since he had a chance to accompany all these scholars during his childhood, he had an interest in national identity and language. When he was studying in grade five at Koralawella School, a music teacher called Mr. W. J. Fernando was transferred to his school from Kalutara. Hence, W.J. Fernando was the first school music teacher of Amaradeva. He realized Amaradeva's talent and directed him on singing and playing. Under his guidance, Amaradeva won all the school singing competitions. Even the teacher let him conduct the classroom when he was not there.","Many consider Pandit Amaradeva's contribution to the development of Sinhala music as unmatched; hence, he is occasionally cited as the ""Maestro of Sri Lankan Music"". In the mid-1950s, Amaradeva in his Janagayana project consulted experts of the Kandyan dance tradition like Panibharatha, Kiriganita, Gunamala, Ukkuva and Suramba in his path to understand what constituted Sinhala folk music. Noting that it mostly revolved around a single melody, he decided to add verses that would lead up to the central melody which would now be a chorus thus forming two parts (unseen earlier in traditional Sri Lankan music) removing restrictions that had existed earlier. In doing so, Amaradeva created a uniquely Sinhalese music style that stayed true to folk tradition while incorporating outside influences. His work was vital in the creation of the sarala gee genre practised subsequently by artists like Sanath Nandasiri, Victor Ratnayake, T.M. Jayaratne, Sunil Edirisinghe and Gunadasa Kapuge etc. Pandit Amaradeva had been the recipient of numerous awards including the Philippine Ramon Magsaysay Award (2001), Indian Padma Sri Award (2002) and Sri Lankan ""President's Award of Kala Keerthi"" (1986) and Deshamanya Award (1998). In 2003 the French government awarded him the prestigious honour; Ordre des Arts et des Lettres. Notably he still remains the most popular artist as confirmed by Nielsen Media Research findings. He has also represented Sri Lanka in many forums including the UNESCO 1967 Manila Symposium. The University of Kelaniya conferred on him the Degree of Doctor of Philosophy (Fine Arts) Honoris Causa in 1991 and the University of Ruhuna and University of Peradeniya conferred on him the Degree of Doctor of Letters, Honoris Causa in 1993 and 1998. In 1972, Pandit Amaradeva composed the music for the Maldivian National Anthem (Gaumii salaam) at the request of Maldivian Government."
61,Paranoid Earthling (band),,,2001,2022,,"Play time music bootleg, Deaf blind dumb, Half cast",,,,"Paranoid Earthling is a Sri Lankan rock band from Kandy. Its music can be described as a blend of experimental rock, grunge, psychedelic and stoner rock. It was founded in 2001 by Mirshad Buckman (lyricist, vocalist and guitarist), Shanka Samarasinghe (drummer), Asela Bandara (bass guitarist) and Dhanushka Samarasinghe (guitarist). The band's EP Rock 'N Roll is My Anarchy was released in 2005. In 2014, the band underwent a line-up change when Harshan Gallage joined as the drummer. A brain child of Mirshad Buckman and Shanka Samarasinghe: inspired to form a band after meeting in school and sharing similar interests in music, the band was put together with Asela Bandara and Dhanushka Samarasinghe as the original line-up. Asela Bandara named the band Paranoid Earthling. Appearing for a guest performance at a local college concert in late 2001, the band covered Nirvana which caught the attention of the youngsters and made a major breakthrough in the rock culture of Sri Lanka. They have since appeared at numerous concerts with a few international tours. Central to Paranoid Earthling's music is the political economic and socio-cultural issues surrounding the day-to-day life of an average Sri Lankan youth. The composition derives from personal experiences as well as from contemporary political and social issues at large. Many youth have found refuge in Paranoid Earthling's rebellious song-writing as it gives them a voice. By questioning concepts such as democracy, violence, conflict, religion and social hierarchies, their music calls for social change and transformation."
62,Paul Fernando,1951,2020,1970,2017,male,"Golu hadawatha, Maalaa",composer,,"Paul Fernando was born on 24 November 1951 in Moratuwa, Colombo, Sri Lanka as the youngest of the family. He completed education at Prince of Wales' College, Moratuwa. His father was Madawala Hewage Leon Fernando and mother was Kusumawathi Fernando. He had four elder brothers. He died on 16 November 2020 at the age of 68 at Kalubowila Hospital after undergoing treatment for an illness for a long period.","Paul Fernando, was a Sri Lankan musician and a Baila singer. Often referred to as the ""Prince of Baila"", Fernando became one of the most popular singers in Sri Lankan western music industry. Also, he is one of the leading artists dedicated to popularizing the art of Baila in Sri Lanka. An amateur singing competition was held at the Buddhist House in Moratuwa in 1969. It was a time when he was looking for opportunities to sing songs. With that focus, he applied for the Talent Sixty Nine Singing Competition where he later won the competition. That competition became the turning point in his musical career. During the competition, he met popular lyricist Priya Peiris who gave him several lyrics. Then Fernando practiced the song Sandapana Wage Obe Ruwa Dilisila. He managed to impress the fans with that song which brought him to the pinnacle of popularity.In 1970, he released his first album. The album consisted of four songs: Sandapana Wage, Ran Samanalaya, Sudu Rosa Malak and Thoppi Velenda. He later became a permanent artist in outdoor musical stages island wide. In the same year, he took to the stage with the song Mala, Mama Oba Genama Hithala. Then in 1972, he sang the song Egoda Gode Mal Nelana Mal Ethano written by Ravi Ranasinghe and composed by Melroy Dharmaratne. Then he made the Baila hit Supun Sandak Ahase Pavuna which became very popular. On the stage, he made a sign of identity, where he sang the songs moving from one place to another rhythmically.In a career spanning more than four decades, he made several popular Baila and fast tracks including: Golu Hadawatha Vivara Karanna, Ruwan Maliga, Egoda Gode Mal, Aawe Wana Bambarek Wage, Supun Sandak Ahase Pawuna, Demapiyan Kiyana Nisa, Pranandu Pranandu, Ran Kirilliye and Dona Kathirina. On 13 October 2013, Fernando performed in the concert 3 Po LS along with fellow Baila singers Christopher Paul and Vincent de Paul Peiris held at Bauddha Mandiraya, Moratuwa."
63,Premasiri Khemadasa,1937,2008,,,male,,"music director, composer",,"Khemadasa grew up in Talpitiya, Wadduwa and attended St. John's College Panadura and then Sri Sumangala College Panadura. Born the thirteenth child into a poor rural family on the west coast of Sri Lanka, Khemadasa started with nothing. There was no musical heritage in his family. He was self-taught, learning how to play on cheap bamboo flutes when he was only 6 years old. In all his life, Khemadasa would never receive formal training in music. As a teenager, he became a gifted flautist. Khemadasa was asked to come to the Radio Ceylon for an interview on the day he was scheduled to take his Senior School Certificate examination. He finished the examination much ahead of time and travelled to the audition. He passed the audition and became a member of Radio Ceylon. His two daughters Anupa and Gayathri now moved into father's stream.","Deshamanya Kala Keerthi Dr.Premasiri Khemadasa also known as ""Khemadasa Master"" was a Sri Lankan music composer. Exploring the various styles of music around the world Khemadasa endeavoured to develop a unique style of music. He combined Sinhala folk tunes, Hindustani music, Western music and many other streams of music in his compositions while adapting them to fit contemporary music."
64,Priya Suriyasena,1952,,1972,2022,male,"Mage lamada, Mathakaya dige, Ratakin eha, Heta dawase","music director, teacher, lecturer, composer",,"He was born on 27 October 1952 to an up-country middle-class family, in Nattandiya, Puttalam district, Sri Lanka. His father was M. L. D Jemis Liyanage was a poet, from whom he got his musical talent. His mother was A. M. Podi Manike. He was the only son in a family of three. He had his primary education at Nattandiya Primary School and completed his GCE O/L and A/L at Madampe Central College in Puttalam district. In 1978 he married Thamara Kumari Weerasinghe who was also a music teacher. The couple has one son and three daughters. Lakshitha studied at Ananda College and learned music from Lionel Ranwala. Eldest daughter Minoshi is a doctor. The next daughter, Iroshi, is a manager at a private bank. The youngest daughter Gayashi is a management degree holder. Lakshitha is married to Miyuru Piyathilaka.   ","After his A/L from 1968 to 1971 he sat for external exams conducted by the government musical college 'Heywood' and obtained a diploma in music. Suriyasena won several prizes as a student after participating in musical programmes, such as UNESCO talent competition in which he won the first prize. Suriyasena started his career in 1971 as a music teacher for Kelaniya Gurukula College whilst also as an on stage singer at the same time. Then he moved to Kalubowila Vidyalaya and finally in Dehiwala Central College. After about 10 years of service in Dehiwala, Suriyasena left his teaching career giving priority to his music career.Then he recorded some of his original songs which were aired in SLBC in 1972 and also passed as an A-grade radio singer. At this stage he shortened his name from Priyadharsha to ""Priya"", inspired by Sri Lankan Motor Racing legend Priya Munasinghe. The first cassette tape was released under Vijaya Ramanayake's Tharanga label. His first radio song Andura Andura Mage was recorded in 1968. The veteran music directors who conducted music for his songs were Lal Thenabadu, the late Sarath Dassanayake, Stanley Peiris, Sarath de Alwis, late Clarence Wijewardena and Ranjith Perera. Suriyasena directed music for songs such as Adaraniya Neranjana, Heta Dawase, Mata Wasana, Sanda Ma Gawai, Mage Samarum Pothe, Ekama Vidiye, Mohathaka Suwa Dena and Gelawata Banda Wu. He has also composed famous Christian Baila music hit dedicated to St Anthony sung by Anton Jones. After the release of his first four songs Suriyasena became a heartthrob of youngsters in the 1970s. His first four songs: Sarathasa Niwa, Mata Wasana, Heta DaVase and Andura Andura Mage were recorded for the SLBC in 1972. The release of Sudu Parevi Rena Se brought Suriyasena up to one of the top singers in the 1970s bringing a controversy at the time where the Sri Lankan government prohibited broadcasting the song through radio channels for a period of time. His popularity was raised with the Sarasaviya Award for Kendan Yannam, a song from Sena Samarasinghe's 1984 film Aethin Aethata with Milton Mallawarachchi and Gratien Ananda.He was also a play back singer in many films including Mal Kekulu in early 1980s, song Bindu Bindu Kandulu Sala, a duet with Shayami Fonseka and music directed by Sarath Dassanayake and produced by Sena Samarasinghe. Further, he sang in many other films like Selinage Walawwa, Mudukkuwe Juliet, Hariyanakota Ohama Thamai, and Pina Paduna Da. In the film Ethin Ethata, he sang the duet ""Kandan Yannan Ranmal Mala Dala"" with Milton Mallawarachchi to the music direction of Sarath Dassanayake which won a Sarasaviya Award in the 1980s. In the film Suhada Sohoyuro he played a minor role. However, later Suriyasena gave up singing as a play back singer focusing only on stage."
65,Prince Udaya Priyantha,1970,2017,1991,2017,male,"Werala konaka, Vijithaya adaraye, Thurulu wemin, Pini watena mal yaye","songwriter, musician","violin, keyboard","Born in the rural village of Siripura, Nawadagala in Galle, Prince started his music career as a keyboard player in the early 1990s, with his inborn abilities. His father Eaton Fernando, was a former violinist in Sri Lanka Broadcasting Corporation, and also a former principal and a music teacher. His mother Rosalyn Palliyaguruge was also principal, who died in 2014 in a Dubai Hospital. Prince has one sister, Shiromi Priyangika, who cared for Prince until his death. He stated that, though he has not married, he had a relationship with fellow female singer Nirosha Virajini, which did not extend up to the marriage, however.","Prince completed his education from Elpitiya Ananda Maha Vidyalaya and showcased his musical abilities at the time of school. His first music teacher was Nihal Gamhewa, but the classes were interrupted due to 1987-89 JVP insurrections. In 1990, Prince attended the Belwood Music Academy of National Youth Services Council and worked as a violinist, under Gamhewa. He completed Bellwood Diploma after three years along with fellow musicians such as Chandana Liyanaarachchi, and Jayasiri Amarasekara. With the completion, he asked his music teacher to write some songs for him. With that, Gamhewa wrote four songs for him, which included Pemwathun Sinase, Werala Konaka Hida, Adare Nam Ai, Sanda Kumariyak. These four songs were highlighted due to the usage of musical instrument Octapad for the first time in Sri Lankan music industry. He popularized as a singer in 1992 with the song Sanda Kumariyak Digeka Yanawa and made his mark in open stages and television music industry. Some of his most popular songs include Sigiriye Kurutu Geetha, Oba Hamuwu Dine, Sudu Mal Pokurak, Sadarenu Wahena and Samudenna Samuganna Nam."
66,R. Muttusamy,1926,1988,,,male,,"composer, music director",," Muttusamy married the Sinhalese B. D. E. Neeliya Perera on 7 October 1961, and had four children, Mohanraj, Chitrangi, Prasanna Vadhani and Keerthika. Mohanraj would follow in his father's footsteps pursuing a career in music. Muttusamy died on 27 June 1988.   ","Muttusamy worked as the Assistant Music Director on the first Sinhalese film Kadawunu Poronduwa in 1941 under the tutelage of R. Narayana Iyer. He subsequently travelled to Sri Lanka and found work there as a member of the state-run Radio Ceylon's Tamil Orchestra (20 October 1952) and then with the Sundera Murugan Studio in Kandana built by producer Nayagam (1953). Enlisted by successful producer K. Gunaratnam, Muttusamy handled his first lead music direction for the 1953 Sinhalese film Prema Tharangaya. In the film he directed the Sinhalese playback singers Dharmadasa and Latha Walpola on what would be their debut as well. Subsequently he oversaw the direction for over 225 films including Ahankara Sthree (1953), Mathalang (1955), Sandesaya (1961), Allapu Gedera and Chandiya (1965) working with playback singers like the Walpolas, Mohideen Baig, J. A. Milton Perera, H. R. Jothipala, Angeline Gunathilake, Sujatha Aththanayaka, G. S. B. Rani and Narada Disasekara.He rejoined Radio Ceylon in 1958 and served with the organization until 1981."
67,Rohan de Saram,1939,,,,male,,cellist,cello,"Rohan de Saram was born to Ceylonese parents in Sheffield, Yorkshire, England. His father was Robert de Saram and his mother was Miriam Pieris Deraniyagala. His paternal grandfather was Colonel Fredrick de Saram, OBE and his maternal grandfather was Sir Paul Pieris. He is married to Rosemary de Saram. They have a daughter, Sophia and a son, Suren.","Deshamanya Rohan de Saram (born 9 March 1939) is a British-born Sri Lankan cellist. Until his 30s, he made his name as a classical artist, but has since become renowned for his involvement in and advocacy of contemporary music. He travels widely and is much in demand for workshops and summer schools in addition to sustaining a schedule of adventurously programmed concerts. In December 2004, Rohan de Saram was awarded an honorary Doctorate of Letters (D.Litt.) from the University of Peradeniya, Sri Lanka. In December 2005 he received the Deshamanya, a national honour of Sri Lanka, given by the President of Sri Lanka."
68,Rookantha Gunathilake,1959,,,,male,"Anatha maruthe, Sanda paana wage, Sanda pini diye, Hiru gilila",songwriter,,"Rookantha was born on 5 September 1959 in Kegalle, Sri Lanka to a middle-class family. He loved music from a very young age. As a result, his parents sent him to a music teacher nearby to teach him to play the piano. He attended St. Mary's College, Kegalle for primary education. He learned music at his school, St. Anthony's College, Kandy from great musicians such as Stanley Peiris and Cyril Brown. He also did G.C.E. A/Ls after coming to the music field.Rookantha is married to singer and former actress Chandralekha Perera. They have two daughters, Raini Charuka (born 10 April 1991) and Windy (born 26 December). ","Rookantha once said in a radio interview that one of his music teachers at school was not that friendly and punished him several times for not using correct fingering in piano. Also, he found out that he was getting restricted to what the teacher wanted him to learn. Rookantha originally pursued a career as a composer in 1976. In 1985, he found himself without a singer to provide vocals on one of his compositions, ""Bambara Pahasa"". This 'Bambara Pahasa' cassette was released on October 31, 1988. He provided the vocals himself, beginning his career as a singer. His fourth album Charuka, named after his daughter, Raini Charuka, was released in 1997. He first composed the music for Jaliya Ranatunga's collection of 12 songs where he wrote two songs.The exclusive concert of Rookantha and Chandralekha is 'Ru Sanda Rae' which means ""Beauty Moon Night"". The first concert was staged at the Elphinston Theatre in Colombo, Sri Lanka in February 1993. To-date it has been staged in many places around the globe including Italy, France, Denmark, Sweden, Germany, Australia, New Zealand, Canada, UK, USA, and the UAE. The 'Ru Sanda Rae' concert has been staged more than 300 times and still counting.The mega show of 'Rookantha-Chandralekha Live at Stadium' was held in August 2009 at the Sugathadasa Indoor Stadium. Many crowds had to turn around as the tickets were sold out weeks before the concert overcrowding the Sugathadasa Stadium with over 15,000 people. Since then, the family has been traveling back and forth holding 'Ru Sanda Rae' concerts around the country. A special concert was held on the 11 August 2012 at 7.00 pm at the Sugathadasa Indoor Stadium, Colombo.In 2019, he worked as a judge in the television reality show Hiru Star. However, he was assaulted by some group of people and damaged his vehicle by stating that Rookantha did not give his vote to a contestant.   He returned Sri Lanka in 2018 with the intentions to enter into politics. In 2019, he was appointed as the Dambadeniya electorate organizer of the United National Party."
69,Rukmani Devi,1923,1978,1936,1978,female,"Ada handanawa himiyani Yasodara, Adara nadiya gala, Adara pana suda, Doi doiya putha, Kiyanna rankanda",actress,,"Rukmani Devi, was born as Daisy Rasammah Daniels to a Tamil Colombo Chetty Christian family on 15 January 1923 at Ramboda in Nuwara Eliya, Sri Lanka. Second, in a family of five, her father, John Daniel worked on a plantation and her mother, Helen Rose was a teacher. She grew up in Colombo and had her early education at St. Matthew's School and then moved on to St. Clare's School, Wellawatte. She was married to veteran dramatist, actor and singer, Eddie Jayamanne, whom she fell in love with as a result of her close association with him, when performing in dramas produced by ""Minerva Dramatic Club"" founded by B. A. W. Jayamanne. They lived at ""Jaya Ruk"", at Angurukaramulla, Negombo."," As a little girl, Daniels showed an inborn talent to sing and dance. At the age of seven, she was picked to sing Christmas carols. Impressed with her ability to sing, dance, and also to act, she was selected to perform a main role in a Christmas play, 'The Shoemaker's Wife'. The stage play was trained and presented by St. Clare's School, Wellawatte. Watching her play this role much enthusiastically, Walter Abeysinghe, a drama producer sought permission from her father, to invite her to play the lead role of 'Sita' in his drama 'Ramayanaya.' Thus, in 1935 at the age of just 12 years she performed in this stage play, presented by the 'Sinhala Natya Sabha'. This marked the beginning of an illustrious career that would span over four decades. As her performances were highly appreciated by the packed audience, well-known dramatist Dick Dias chose her for two of his stage plays, ""Jana Kiharanaya"" and ""Mayawathie"". She was now flooded with stage dramas, as she became Mayawathi in Charles Dias' 'Mayawathi', Juliet in a Sinhala adaption of Romeo and Juliet, playing the lead female role in all of them. Rukmani performed her singing career as a simple singer on Sri Lankan radio in the mid-1940s. Gabriel Gunaratne, who was in charge of recording songs at the then His Master's Voice (HMV) Gramophone Records Company, was the permanent music director of the company. She was introduced to the H. W. Rupasinghe one day in October 1938 by Gunaratne. Rupasinghe, who saw Rukmani's singing prowess, chose her for the first album, which was launched by Master His Voice No. 9300. With her first audio recording of the famous song ""Siri Buddhagaya Vihare"" with Master ""H. W. Rupasinghe"". in 1938 at the age of 15, she captured the hearts of the masses and she shaped her career from that of an actress to that of an actress turned singer. This song was recorded to 78 rpm (gramophone) record label HMV with the number N-9300 and issued in 1939 by the Cargills Ltd, local agents for HMV.  Her unique voice attracted many music directors, as her singing career moved from the stage to the silver screen. Joining Rupasinghe Master's band as a regular singer, she faced three challenges at the time. That is, she had not studied Hindustani classical music properly as well as had to compete with renowned singers of that year such as Lakshmi Bai, Annie Boteju and Susila Jayasinghe. The third was the language challenge. She did not know how to read or write Sinhala and she used to write it all down in English. Due to the vocal training given by Rupasinghe Master through those songs, she soon became a simple classical singer as well as the most popular young singer on the His Masters Voice record company. During 1938-45, she recorded 44 songs for HMV Records. Rukmani sang almost all the Sinhala songs composed in Hindi and Vanga classical songs sung by Kumari Jutika Roy, then popularly known as ""Bhajan Songstress"" in India.It was also, around this time that her name underwent a change from Daisy Daniels to the well known 'Rukmani Devi'. "
70,Rukshan Perera,1956,,1966,2022,male,"Coming home to you, Feel like a butterfly, Just for you, Something is happening","songwriter, composer, arranger","guitar, piano, harmonica, flute","He was born in Colombo, to a musical family. Rukshan got his first piano lesson at age five from his mother, a well known music teacher/church organist for fifty years in Moratuwa. Rukshan became a self-taught guitarist and formed his first family band at the age of ten and performed over Radio Ceylon. He was educated at the Royal College, Colombo. As a young teenage musician, Rukshan Perera joined a group as a keyboardist whilst still a school boy at Royal College, fronted by Sri Lanka's 'King of Pop' Clarence Wijewardena and his partner Annesley Malewana. The group known as the 'Super Golden Chimes' went on to reach the heights of success in Sri Lanka. The 'Super Golden Chimes' received constant airplay over the airwaves of Radio Ceylon and subsequently the Sri Lanka Broadcasting Corporation making them household names on the island and across South Asia. He has also played with The Esquire Set, Serendib and the 'Golden Chimes' group. Rukshan plays the guitar, harmonica, piano and several other instruments. The Sunday Times newspaper in Sri Lanka noted that 'Rukshan Perera is an accomplished, highly experienced and insanely talented musician.' Rukshan Perera is a well known Jazz artist who has also mastered 'Sinhala acapellas'. The Sunday Island newspaper in Colombo observed that his (music) repertoire ranged from pop, jazz, blues to fusion and a cappella, renditions and being a multi-instrumentalist, he enthralled the audience with his virtuosity, playing guitar, piano, flute and harmonica.' He lived in the United States for almost three decades. Rukshan took a break from music, threw himself into an academic career, acquired a bachelor's degree in Information Systems, added a Masters in Business Administration, and joined the consumer product company Philip Morris as an IT Manager.","At a concert in New York sponsored by Philip Morris he played along with well-known jazz names. He was the only novice and he survived creditably and then performed on an off including a gig with the Sri Lankan bassist Hussain Jiffry. Having lived in the United States since 1980, Rukshan Perera decided to return to the land of his birth. Rukshan Perera has recorded two CD albums and performed 'live' concerts in Sri Lanka and around the world including the United States of America. He has also introduced 'harmony whistle' and 'harmony scatting,' not seen anywhere else. Whistling the melody and the harmony together is a rare talent that Rukshan possesses for which his name has even been proposed for the Guinness Book of World Records by his fans."
